orden,municipio,departamento
479,La Peña,Cundinamarca
480,La Pintada,Antioquia
481,La Plata,Huila
482,La Playa,Norte De Santander
483,La Primavera,Vichada
484,La Salina,Casanare
485,La Sierra,Cauca
486,La Tebaida,Quindio
487,La Tola,Nariño
488,La Unión,Antioquia
489,La Unión,Nariño
490,La Unión,Sucre
491,La Unión,Valle Del Cauca
492,La Uvita,Boyacá
493,La Vega,Cauca
494,La Vega,Cundinamarca
495,La Victoria,Boyacá
496,La Victoria,Valle Del Cauca
497,La Virginia,Risaralda
498,Labateca,Norte De Santander
499,Labranzagrande,Boyacá
500,Landázuri,Santander
501,Lebrija,Santander
502,Leiva,Nariño
503,Lejanías,Meta
504,Lenguazaque,Cundinamarca
505,Lérida,Tolima
506,Leticia,Amazonas
507,Líbano,Tolima
508,Liborina,Antioquia
509,Linares,Nariño
510,Lloró,Chocó
511,López De Micay,Cauca
512,Lorica,Córdoba
513,Los Andes,Nariño
514,Los Córdobas,Córdoba
515,Los Palmitos,Sucre
516,Los Patios,Norte De Santander
517,Los Santos,Santander
518,Lourdes,Norte De Santander
519,Luruaco,Atlántico
520,Macanal,Boyacá
521,Macaravita,Santander
522,Maceo,Antioquia
523,Machetá,Cundinamarca
524,Madrid,Cundinamarca
525,Magangué,Bolívar
526,Magüí,Nariño
527,Mahates,Bolívar
528,Maicao,La Guajira
529,Majagual,Sucre
530,Málaga,Santander
531,Malambo,Atlántico
532,Mallama,Nariño
533,Manatí,Atlántico
534,Manaure,La Guajira
535,Manaure Balcón Del Cesar,Cesar
536,Maní,Casanare
537,Manizales,Caldas
538,Manta,Cundinamarca
539,Manzanares,Caldas
540,Mapiripán,Meta
541,Margarita,Bolívar
542,María La Baja,Bolívar
543,Marinilla,Antioquia
544,Maripí,Boyacá
545,Marmato,Caldas
546,Marquetalia,Caldas
547,Marsella,Risaralda
548,Marulanda,Caldas
549,Matanza,Santander
550,Medellín,Antioquia
551,Medina,Cundinamarca
552,Medio Atrato,Chocó
553,Medio Baudó,Chocó
554,Medio San Juan,Chocó
555,Melgar,Tolima
556,Mercaderes,Cauca
557,Mesetas,Meta
558,Milán,Caquetá
559,Miraflores,Boyacá
560,Miraflores,Guaviare
561,Miranda,Cauca
562,Mistrató,Risaralda
563,Mitú,Vaupés
564,Mocoa,Putumayo
565,Mogotes,Santander
566,Molagavita,Santander
567,Momil,Córdoba
568,Mompós,Bolívar
569,Mongua,Boyacá
570,Monguí,Boyacá
571,Moniquirá,Boyacá
572,Montebello,Antioquia
573,Montecristo,Bolívar
574,Montelíbano,Córdoba
575,Montenegro,Quindio
576,Montería,Córdoba
577,Monterrey,Casanare
578,Moñitos,Córdoba
579,Morales,Bolívar
580,Morales,Cauca
581,Morelia,Caquetá
582,Morroa,Sucre
583,Mosquera,Cundinamarca
584,Mosquera,Nariño
585,Motavita,Boyacá
586,Murillo,Tolima
587,Murindó,Antioquia
588,Mutatá,Antioquia
589,Mutiscua,Norte De Santander
590,Muzo,Boyacá
591,Nariño,Antioquia
592,Nariño,Cundinamarca
593,Nariño,Nariño
594,Nátaga,Huila
595,Natagaima,Tolima
596,Nechí,Antioquia
597,Necoclí,Antioquia
598,Neira,Caldas
599,Neiva,Huila
600,Nemocón,Cundinamarca
601,Nilo,Cundinamarca
602,Nimaima,Cundinamarca
603,Nobsa,Boyacá
604,Nocaima,Cundinamarca
605,Norcasia,Caldas
606,Norosí,Bolívar
607,Nóvita,Chocó
608,Nueva Granada,Magdalena
609,Nuevo Colón,Boyacá
610,Nunchía,Casanare
611,Nuquí,Chocó
612,Obando,Valle Del Cauca
613,Ocamonte,Santander
614,Ocaña,Norte De Santander
615,Oiba,Santander
616,Oicatá,Boyacá
617,Olaya,Antioquia
618,Olaya Herrera,Nariño
619,Onzaga,Santander
620,Oporapa,Huila
621,Orito,Putumayo
622,Orocué,Casanare
623,Ortega,Tolima
624,Ospina,Nariño
625,Otanche,Boyacá
626,Ovejas,Sucre
627,Pachavita,Boyacá
628,Pacho,Cundinamarca
629,Pácora,Caldas
630,Padilla,Cauca
631,Páez,Boyacá
632,Páez,Cauca
633,Paicol,Huila
634,Pailitas,Cesar
635,Paime,Cundinamarca
636,Paipa,Boyacá
637,Pajarito,Boyacá
638,Palermo,Huila
639,Palestina,Caldas
640,Palestina,Huila
641,Palmar,Santander
642,Palmar De Varela,Atlántico
643,Palmas Del Socorro,Santander
644,Palmira,Valle Del Cauca
645,Palmito,Sucre
646,Palocabildo,Tolima
647,Pamplona,Norte De Santander
648,Pamplonita,Norte De Santander
649,Pandi,Cundinamarca
650,Panqueba,Boyacá
651,Páramo,Santander
652,Paratebueno,Cundinamarca
653,Pasca,Cundinamarca
654,Pasto,Nariño
655,Patía,Cauca
656,Pauna,Boyacá
657,Paya,Boyacá
658,Paz De Ariporo,Casanare
659,Paz De Río,Boyacá
660,Pedraza,Magdalena
661,Pelaya,Cesar
662,Pensilvania,Caldas
663,Peñol,Antioquia
664,Peque,Antioquia
665,Pereira,Risaralda
666,Pesca,Boyacá
667,Piamonte,Cauca
668,Piedecuesta,Santander
669,Piedras,Tolima
670,Piendamó,Cauca
671,Pijao,Quindio
672,Pijiño Del Carmen,Magdalena
673,Pinchote,Santander
674,Pinillos,Bolívar
675,Piojó,Atlántico
676,Pisba,Boyacá
677,Pital,Huila
678,Pitalito,Huila
679,Pivijay,Magdalena
680,Planadas,Tolima
681,Planeta Rica,Córdoba
682,Plato,Magdalena
683,Policarpa,Nariño
684,Polonuevo,Atlántico
685,Ponedera,Atlántico
686,Popayán,Cauca
687,Pore,Casanare
688,Potosí,Nariño
689,Pradera,Valle Del Cauca
690,Prado,Tolima
691,Providencia,Nariño
692,Providencia,"Archipiélago De San Andrés, Providencia Y Santa Catalina"
693,Pueblo Bello,Cesar
694,Pueblo Nuevo,Córdoba
695,Pueblo Rico,Risaralda
696,Pueblorrico,Antioquia
697,Puebloviejo,Magdalena
698,Puente Nacional,Santander
699,Puerres,Nariño
700,Puerto Asís,Putumayo
701,Puerto Berrío,Antioquia
702,Puerto Boyacá,Boyacá
703,Puerto Caicedo,Putumayo
704,Puerto Carreño,Vichada
705,Puerto Colombia,Atlántico
706,Puerto Concordia,Meta
707,Puerto Escondido,Córdoba
708,Puerto Gaitán,Meta
709,Puerto Guzmán,Putumayo
710,Puerto Leguízamo,Putumayo
711,Puerto Libertador,Córdoba
712,Puerto Lleras,Meta
713,Puerto López,Meta
714,Puerto Nare,Antioquia
715,Puerto Nariño,Amazonas
716,Puerto Parra,Santander
717,Puerto Rico,Caquetá
718,Puerto Rico,Meta
719,Puerto Rondón,Arauca
720,Puerto Salgar,Cundinamarca
721,Puerto Santander,Norte De Santander
722,Puerto Tejada,Cauca
723,Puerto Triunfo,Antioquia
724,Puerto Wilches,Santander
725,Pulí,Cundinamarca
726,Pupiales,Nariño
727,Puracé,Cauca
728,Purificación,Tolima
729,Purísima De La Concepción,Córdoba
730,Quebradanegra,Cundinamarca
731,Quetame,Cundinamarca
732,Quibdó,Chocó
733,Quimbaya,Quindio
734,Quinchía,Risaralda
735,Quípama,Boyacá
736,Quipile,Cundinamarca
737,Ragonvalia,Norte De Santander
738,Ramiriquí,Boyacá
739,Ráquira,Boyacá
740,Recetor,Casanare
741,Regidor,Bolívar
742,Remedios,Antioquia
743,Remolino,Magdalena
744,Repelón,Atlántico
745,Restrepo,Meta
746,Restrepo,Valle Del Cauca
747,Retiro,Antioquia
748,Ricaurte,Cundinamarca
749,Ricaurte,Nariño
750,Río De Oro,Cesar
751,Río Iró,Chocó
752,Río Quito,Chocó
753,Río Viejo,Bolívar
754,Rioblanco,Tolima
755,Riofrío,Valle Del Cauca
756,Riohacha,La Guajira
757,Rionegro,Antioquia
758,Rionegro,Santander
759,Riosucio,Caldas
760,Riosucio,Chocó
761,Risaralda,Caldas
762,Rivera,Huila
763,Roberto Payán,Nariño
764,Roldanillo,Valle Del Cauca
765,Roncesvalles,Tolima
766,Rondón,Boyacá
767,Rosas,Cauca
768,Rovira,Tolima
769,Sabana De Torres,Santander
770,Sabanagrande,Atlántico
771,Sabanalarga,Antioquia
772,Sabanalarga,Atlántico
773,Sabanalarga,Casanare
774,Sabanas De San Ángel,Magdalena
775,Sabaneta,Antioquia
776,Saboyá,Boyacá
777,Sácama,Casanare
